,strategy,benchmark
total_return,-0.09006464639814116,0.32509332269194324
annual_return,-0.01845267948992846,0.05711884044475224
annual_volatility,0.1356772699799559,0.19278096612414472
sharpe_ratio,-0.13600420684064868,0.29628879651930756
max_drawdown,-0.3451192416884902,-0.4560261954822534
calmar_ratio,-0.053467547621074474,0.12525341967328948
trade_count,27.0,
holding_ratio,0.44322631166797183,1.0
excess_total_return,-0.4151579690900844,
